id,class,c1,c2,c3,c4,c5,c6,c8,c9,c14,c17,c18,c20,c22,c23,c27,c32,c40,c43,c46,c47,c48,c54,c55,c56,c57,c58,c59,c60
40,647859449,-1568164501,1044374,634662849,правое,0,250.0,1756159695.0,466949963,300.0,"0,0685","0,0788",ММ,648.0,0.75,0,6.0,3.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
41,647859449,-1567240980,1044374,634662849,правое,0,250.0,1756159695.0,466949963,400.0,"0,049","0,0564",ММ,1026.0,0.69,0,8.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
42,647859449,-1566317459,1044374,634662849,правое,0,250.0,1756159695.0,466949963,500.0,"0,0396","0,0455",ММ,1026.0,0.77,0,8.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
43,647859449,-1425715669,1044374,634662849,правое,0,100.0,1756159695.0,466949963,1000.0,"0,0183","0,021",ММ,1026.0,1.12,0,8.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
44,545988074,-578661768,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,0,В,К,Э,Э,л,(РЕ)
45,545988074,-141440989,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,В,К,Э,Э,л,(РЕ)
46,545988074,-141440989,1040736,0,левое,50,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,Т,К,Э,Э,л,(РЕ)
47,545988074,-1265566495,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,В,К,Э,Э,л,(РЕ)
48,545988074,-1265566495,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,Пс,К,Э,Э,л,(РЕ)
49,545988074,530870751,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,В,К,Э,Э,л,(РЕ)
50,545988074,530870751,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,Пс,К,Э,Э,л,(РЕ)
51,545988074,1890689837,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,В,К,Э,Э,л,(РЕ)
52,545988074,1890689837,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,Пс,К,Э,Э,л,(РЕ)
53,545988074,-1155753965,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,В,К,Э,Э,л,(РЕ)
54,545988074,-1155753965,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,Пс,К,Э,Э,л,(РЕ)
55,545988074,103633816,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,П,К,Э,Э,л,(РЕ)
56,545988074,103633816,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,Пс,К,Э,Э,л,(РЕ)
57,545988074,2134538891,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,П,К,Э,Э,л,(РЕ)
58,545988074,2134538891,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,Пс,К,Э,Э,л,(РЕ)
